OrderID,CustomerID,ProductName,Brand,Raw_Weight,Country,OrderDate,UnitPrice
REC-861088,6120,Perly,Perly,100 g,"Morocco,United States",2024-02-22,13.18
REC-900952,12550,Prince Goût Chocolat,LU,300 g,"Algeria,Belgium,France,French Polynesia,Germany,Guadeloupe,Hungary,Luxembourg,Martinique,Morocco,New Caledonia,Réunion,Spain,Switzerland,United States",2024-11-13,1.5
REC-595965,6705,Excellence Noir Prodigieux 90% Cacao,"Lindt EXCELLENCE,Lindt",100g,"Argelia,Austria,Bélgica,Bulgaria,Canadá,República Checa,Finlandia,Francia,Polinesia Francesa,Alemania,Irlanda,Italia,Mauricio,Marruecos,Países Bajos,Noruega,Reunión,Rumania,Singapur,España,Suecia,Suiza,Túnez,Reino Unido",2025-02-02,12.99
REC-942653,8645,Tonik,عربي,22 g,Maroc,2024-12-11,14.82
REC-885998,14430,Sésame,Gerblé,230g,"Belgium, Bulgaria, France, en:switzerland",2025-08-21,18.4
REC-674324,6760,Шоколад 85% какаова маса,J. D. Gross,125g,"Austria,Belgium,Bulgaria,Estonia,Finland,France,Germany,Italy,Lithuania,Slovakia,Slovenia,Spain,United Kingdom",2024-09-08,19.16
REC-867660,8420,CRISTALINE Eau De Source 0.5L,Cristaline,500 ml,"Belgium,Côte d'Ivoire,France,Germany,Luxembourg,Mali,Martinique,Russia,Switzerland,United Kingdom",2024-10-10,3.64
REC-448132,9144,Henry’s,Henry's,42g,Maroc,2024-12-30,17.59
REC-202400,10397,Milk chocolate bar,Generic,150 g,"Algeria,Cameroon,France,Morocco,Spain",2024-08-04,11.08
REC-386572,13888,Organic 70% Dark Chocolate Bar,Green & Black's,90g,"France,Irlande,Suède,Royaume-Uni",2025-10-15,12.14
REC-394893,8397,KING COOKIES,Excelo,Unknown,Morocco,2025-05-25,19.74
REC-965916,6325,Sable coco Henry s 42g,Generic,42g,Maroc,2024-07-02,2.64
REC-735024,8672,Biscuits croquants au coeur onctueux de Nutella®,"nutella,Ferrero",304 g,"Francia,Alemania,Italia,Marruecos,Portugal,Rumania,España,Suiza",2024-12-11,10.57
REC-866242,13720,Tartine croustillante Authentique,wasa,275 g,"France, Italy, Spain, Switzerland, en:reunion",2024-12-16,6.25
REC-167785,6250,Excellence Noir Intense 70% Cacao,Lindt,100 g,"Algérie,Belgique,République tchèque,France,Allemagne,Guadeloupe,Italie,Maroc,La Réunion,Espagne,Suisse",2024-10-26,1.25
REC-625106,12696,Lightly sea salted crisps,Tyrrell's,150g,"France,Germany,Spain,United Kingdom",2024-09-16,1.84
REC-399127,6000,Dark chocolate,Green and black,90g,"Belgium, France, United Kingdom, en:ireland",2025-09-11,19.17
REC-506660,10724,Excellence Noir Puissant 85% Cacao,Lindt,100g,"Autriche,Belgique,France,Allemagne,Italie,Maroc,Pays-Bas,La Réunion,Espagne,Suisse",2024-12-09,14.0
REC-323330,14542,Fourrés Chocolat Noir,Bjorg,225 g,"France,Luxembourg,Switzerland",2024-08-12,22.91
REC-726018,6965,Extra dark 74% Cocoa,fin CARRÉ,100 gram,"Belgium,Bulgaria,Czech Republic,Finland,Germany,Netherlands,Poland,Spain",2025-05-26,23.07
REC-799477,13302,FIBRES,Wasa,230 g,"Belgique,France,Guadeloupe,Italie,La Réunion,Espagne,Suisse",2025-03-19,6.57
REC-169584,14120,Henry’s,Henry’s,85 g,Maroc,2024-07-02,4.31
REC-925173,6135,Momo black,Excelo,36 g,Maroc,2024-10-30,22.96
REC-898017,12257,Tuc Original,"Mondelēz,Tuc",100g,"Austria,Bélgica,Dinamarca,Estonia,Finlandia,Francia,Alemania,Italia,Luxemburgo,Malta,Marruecos,Países Bajos,Portugal,España,Suecia,Suiza",2026-01-19,13.16
REC-739815,7944,EXTRA FINE DARK CHOCOLATE,"Lindt & Sprüngli,Lindt",100 g,"Australie,Belgique,Canada,République tchèque,Danemark,Estonie,France,Allemagne,Hongrie,Irlande,Italie,Liban,Maroc,Pays-Bas,Portugal,Serbie,Espagne,Suisse,Royaume-Uni",2024-03-13,12.4
REC-992581,8248,Eyoo cover,EXCELO,52,Morocco,2025-11-16,18.93
REC-392117,12134,Tartines craquantes au sarrasin imp,"Ekibio,Le pain des Fleurs",160 g,"Belgium,France,Luxembourg,Netherlands,Senegal,Switzerland",2025-12-09,9.41
REC-337268,14038,Pomme 🍏 🍎 Noisette🥜,Gerblé,230 g,"Belgium,France,French Polynesia,Germany,Guadeloupe,Martinique,Morocco,Réunion,Switzerland",2025-05-31,15.63
REC-974515,12699,Trios,Aperitivos company,20g,"Spain, Marruecos, en:morocco",2026-01-06,24.16
REC-953482,13960,Edelbitter 70% Cacao,J. D. Gross,125g,DE,2025-06-30,5.07
